GEO_ID,NAME,S2801_C01_001E,S2801_C01_012E,S2801_C02_012E,S2801_C01_019E,S2801_C02_019E,S2801_C01_020E,S2801_C01_022E,S2801_C02_022E,S2801_C01_023E,S2801_C02_023E,S2801_C01_024E,S2801_C01_026E,S2801_C02_026E,S2801_C01_027E,S2801_C02_027E,S2801_C01_028E,S2801_C01_030E,S2801_C02_030E,S2801_C01_031E,S2801_C02_031E
id,Geographic Area Name,Estimate!!Total!!Total households,Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription,Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription,Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Without an Internet subscription,"Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!Less than $20,000!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$20,000 to $74,999!!Without an Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!With a broadband Internet subscription","Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription","Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!$75,000 or more!!Without an Internet subscription"
0500000US36081,"Queens County, New York",788110,680771,86.4,107339,13.6,104102,66521,63.9,37193,35.7,319315,269147,84.3,49925,15.6,364693,344133,94.4,20221,5.5
0500000US36005,"Bronx County, New York",507370,399388,78.7,107982,21.3,154135,93715,60.8,60130,39,225669,185774,82.3,39239,17.4,127566,118845,93.2,8613,6.8
0500000US36061,"New York County, New York",752258,657202,87.4,95056,12.6,130475,82487,63.2,47800,36.6,212318,178002,83.8,33836,15.9,409465,396045,96.7,13420,3.3
0500000US36047,"Kings County, New York",969317,802932,82.8,166385,17.2,192463,115791,60.2,76348,39.7,358756,291640,81.3,66417,18.5,418098,394340,94.3,23620,5.6
0500000US36085,"Richmond County, New York",167441,140175,83.7,27266,16.3,23561,13928,59.1,9594,40.7,51878,39881,76.9,11807,22.8,92002,86094,93.6,5865,6.4
,,3184496,2680468,,504028,,604736,,,231065,,1167936,,,201224,,1411824,,,71739,
,,,,,,,,,Prop (<20k,0.382092351,,,,,0.172290262,,,,,0.050812991,
,,,,,,,,,Prop total,0.458436833,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Pot. Cost,13863900,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HomeAccess,,,,,,,,,,,,,
